Saudi Arabia,1,-3.67,269.05,0,0
Senegal,4,3.48,19.88,1,0
Serbia,1,126.02,6371.67,0,0
Seychelles,1,0.06,1.29,0,0
Sierra Leone,1,-0.03,1.53,0,0
Singapore,1,-0.02,7.07,0,0
Slovakia,1,19.71,1370.41,0,0
Slovenia,1,1.89,1479.32,0,0
Solomon Islands,2,-0.01,0.09,1,1
Somalia,4,-0.26,9.78,1,0
South Africa,1,98.31,2716.12,0,0
South Sudan,1,0.26,7.81,0,0
Spain,2,-362.39,10709.9,1,0
Sri Lanka,2,16.72,456.18,1,0
Sudan,2,5.07,213.26,1,0
Suriname,2,-0.14,2.94,1,0
Sweden,1,13.49,4967.0,0,0
Switzerland,1,-56.51,4032.57,0,0
Syria,1,0.8,79.94,0,0
Taiwan*,1,0.49,4.14,0,0
Tajikistan,2,-0.13,38.88,1,0
Tanzania,1,-0.0,0.0,0,1
Thailand,1,0.72,9.2,0,0
Timor-Leste,1,0.01,0.01,0,0
Togo,2,-0.37,19.84,1,0
Trinidad and Tobago,2,-2.89,42.96,1,0
Tunisia,2,-3.56,1134.0,1,0
Turkey,1,2293.58,14703.78,0,0
US,1,1642.71,168533.53,0,0
Uganda,4,4.78,303.34,1,0
Ukraine,2,28.75,13718.27,1,0
United Arab Emirates,5,2.24,1239.83,1,0
"Anguilla, United Kingdom",2,0.02,0.16,1,0
"Bermuda, United Kingdom",3,0.36,2.35,1,0
"British Virgin Islands, United Kingdom",1,0.01,0.02,0,0
"Cayman Islands, United Kingdom",2,0.08,1.58,1,0
"Channel Islands, United Kingdom",1,3.68,16.78,0,0
"Falkland Islands (Malvinas), United Kingdom",1,0.0,0.07,0,0
"Gibraltar, United Kingdom",4,-0.29,8.3,1,0
"Isle of Man, United Kingdom",1,-0.05,0.43,0,0
"Montserrat, United Kingdom",1,-0.0,0.0,0,1
"Turks and Caicos Islands, United Kingdom",1,-0.24,2.49,0,0
United Kingdom,1,-357.5,17147.34,0,0
Uruguay,1,10.72,120.7,0,0
Uzbekistan,3,-3.51,190.12,1,0
Vanuatu,1,0.0,0.0,0,1
Venezuela,1,-0.77,339.91,0,0
Vietnam,1,-0.05,4.4,0,0
West Bank and Gaza,1,54.76,1588.87,0,0
Yemen,2,1.41,7.61,1,0
Zambia,1,0.55,31.36,0,0
Zimbabwe,2,4.79,78.87,1,0
total,0,1671,589140,107,29
